id,rate,votes,cuisine
5754,,0,Fast Food
48731,4.0,137,Desserts
42154,4.1,534,South Indian
3094,4.1,58,Mithai
41990,4.3,124,Mithai
916,3.6,27,Fast Food
48632,3.7,53,Mithai
41568,4.0,73,Mithai
3079,3.9,42,Mithai
3906,4.3,278,South Indian
6040,3.5,10,Desserts
1964,4.0,113,Chinese
43774,3.2,7,North Indian
19006,3.4,9,South Indian
15734,,0,South Indian
7539,4.1,237,Continental
4008,3.0,16,Thai
4978,3.1,9,Thai
6421,3.2,5,Thai
1027,4.9,2178,Asian
40177,3.3,4,Chinese
14898,3.6,25,Beverages
22975,,0,North Indian
6869,2.8,80,Andhra
23703,3.0,74,Andhra
7839,3.9,224,North Indian
41930,3.7,18,North Indian
39406,3.2,4,South Indian
4224,3.9,48,South Indian
6262,3.3,4,Biryani
4846,3.6,31,North Indian
5506,,0,South Indian
51298,,0,South Indian
8133,,0,South Indian
533,3.1,29,North Indian
3919,3.9,69,South Indian
38710,3.2,8,South Indian
46317,3.7,91,South Indian
14805,3.5,53,Asian
12260,4.1,208,Bakery
38541,,0,South Indian
4194,4.0,1229,Cafe
3795,4.0,73,Bakery
2690,,0,Cafe
39021,4.3,722,Cafe
4093,,0,Desserts
17573,,0,Continental
40715,4.0,24,Desserts
21190,,0,Chinese
39083,4.2,577,Asian
2415,,0,North Indian
1098,3.6,116,Continental
5013,,0,Andhra
46952,3.7,19,Fast Food
17093,3.3,6,Fast Food
20008,3.5,13,Fast Food
21946,,0,Fast Food
6712,3.3,5,Fast Food
13676,3.4,46,North Indian
22356,4.5,506,Cafe
4969,3.7,104,Andhra
9265,,0,Biryani
25532,,0,Biryani
2545,3.7,23,Chinese
12007,4.0,610,Assamese
4302,3.9,224,North Indian
456,3.7,39,North Indian
246,,0,Fast Food
48367,3.4,10,South Indian
48236,3.8,65,Chinese
2112,4.3,734,South Indian
17569,,0,North Indian
5952,,0,South Indian
5011,3.8,41,North Indian
4509,2.8,95,North Indian
367,3.6,29,Asian
36317,4.2,176,North Indian
35198,4.3,429,North Indian
2178,,0,Cafe
23730,4.3,1561,Finger Food
5218,3.7,500,North Indian
580,3.5,8,North Indian
5612,3.5,8,Arabian
46177,3.9,123,Continental
4489,,0,North Indian
41719,3.5,107,Continental
5684,3.7,68,South Indian
11780,4.6,634,Continental
42800,3.7,22,North Indian
4636,4.2,820,North Indian
11475,,0,North Indian
262,4.1,428,North Indian
9225,,0,North Indian
15866,4.0,364,North Indian
7553,4.1,446,North Indian
19266,,0,North Indian
5639,3.6,32,North Indian
11286,4.1,373,North Indian
16969,3.7,24,North Indian
19172,3.6,14,North Indian
3987,3.7,195,North Indian
46704,,0,North Indian
1054,,0,Chinese
11832,4.1,207,American
4536,3.1,43,Fast Food
2018,3.3,6,Biryani
12476,,0,Continental
5438,3.5,13,Burger
5595,,0,Kebab
41791,3.8,86,Kebab
39413,,0,Biryani
655,2.2,479,North Indian
3853,4.0,903,Andhra
13,3.8,527,North Indian
4557,4.2,1383,Continental
41916,,0,Fast Food
8144,3.5,7,Street Food
697,,0,Bakery
17596,3.4,9,Bakery
3450,4.0,89,Bakery
5408,3.1,9,Fast Food
150,3.5,15,Fast Food
22082,3.7,18,Bakery
6916,,0,Bakery
31450,3.2,15,Bakery
510,,0,Bakery
24064,,0,Bakery
22351,3.5,6,Bakery
7676,,0,Bakery
46298,,0,Bakery
6888,3.7,17,Bakery
5275,3.7,22,Bakery
4799,3.5,8,Bakery
503,,0,Bakery
785,3.3,7,Desserts
4143,4.0,175,Bakery
7724,,0,Bakery
13237,,0,Bakery
1195,3.9,48,Bakery
48633,3.0,8,Bakery
1513,3.8,77,Cafe
1180,3.6,41,Cafe
48345,3.8,35,Bakery
4394,4.0,36,Bakery
40247,,0,Desserts
31466,3.3,4,Bakery
13052,3.5,7,Continental
7759,,0,Desserts
20948,,0,Bakery
3043,4.0,74,Bakery
42788,3.4,27,South Indian
22112,,0,Biryani
5391,3.8,37,Street Food
21556,,0,South Indian
43352,,0,South Indian
6996,3.3,5,North Indian
22802,3.6,195,North Indian
11305,3.9,170,North Indian
42268,4.0,134,North Indian
9787,3.7,112,Chinese
1323,2.8,48,Charcoal Chicken
4755,4.2,532,Chinese
6717,3.7,1014,Continental
19923,3.5,12,Andhra
17329,2.9,15,North Indian
37069,3.7,24,Mithai
23222,3.2,6,Street Food
25772,2.8,19,North Indian
17408,2.7,16,North Indian
41948,,0,Biryani
48932,,0,Biryani
276,3.8,104,Biryani
7843,3.3,4,South Indian
598,,0,Biryani
5189,3.6,8,South Indian
41783,,0,South Indian
46545,3.6,24,South Indian
5767,,0,Biryani
29528,,0,South Indian
2821,4.0,44,Cafe
18179,3.9,65,Street Food
8680,3.9,144,Street Food
43405,3.8,98,Street Food
14129,4.2,484,Finger Food
5793,,0,Mithai
4120,3.7,309,Bengali
18472,3.6,124,Bengali
4458,3.9,452,Bengali
10091,3.7,11,Bengali
5296,2.9,153,Bengali
1172,3.0,61,Bengali
6976,2.9,58,Bengali
5989,3.2,4,Mithai
1371,3.9,134,Street Food
19615,3.3,6,Mithai
50,3.0,5,Mithai
39383,3.5,22,North Indian
709,3.6,20,North Indian
12050,,0,Biryani
46299,,0,Bakery
4732,4.1,624,Asian
13930,4.2,2212,Continental
4323,3.5,121,Fast Food
2694,3.7,197,South Indian
42829,,0,Bakery
432,2.9,17,Bakery
41839,,0,Bakery
1669,3.2,4,South Indian
16059,3.6,18,North Indian
17639,,0,Bengali
18127,,0,North Indian
47412,3.2,6,Arabian
17002,,0,Biryani
3343,,0,Andhra
3292,4.2,975,Chinese
18722,4.2,764,Chinese
2794,4.2,255,Cafe
5452,,0,Chinese
6765,,0,Juices
14175,4.1,209,Continental
3027,3.5,57,Chinese
10075,3.4,7,Biryani
21835,3.2,4,North Indian
1304,3.3,6,Street Food
22007,,0,Street Food
12925,3.3,9,Street Food
